project_id,bim360_account_id,service,status,created_at
62d8bf6b-c691-4b7b-9256-417a200cc619,956c9a49-bc6e-4459-b873-d9ecea0600cb,insight,active,2020-11-11 14:02:59.442658
c65bec6d-c733-4193-9e60-3ee13ae354d0,956c9a49-bc6e-4459-b873-d9ecea0600cb,insight,active,2020-11-12 16:29:05.789195
26fa60cf-ed6b-466c-b031-276694ee0fd2,956c9a49-bc6e-4459-b873-d9ecea0600cb,insight,archived,2020-12-14 13:25:44.183571
9fd1f9ce-ddb1-4b15-9d5f-1777b53f4982,956c9a49-bc6e-4459-b873-d9ecea0600cb,insight,active,2020-11-16 15:53:07.537031
f1594302-5834-4a27-ac73-227b859ad755,956c9a49-bc6e-4459-b873-d9ecea0600cb,insight,archived,2020-12-22 13:15:02.466451
d35cd491-1b4b-43a3-ae36-b60c943f01bf,956c9a49-bc6e-4459-b873-d9ecea0600cb,insight,active,2020-12-23 15:12:15.701629
83d38beb-3733-4f51-80f9-d48b8b8a71b9,956c9a49-bc6e-4459-b873-d9ecea0600cb,insight,active,2021-02-02 21:33:57.451369
6c12f2a6-d227-4c2c-a0ad-57caa61bd8a4,956c9a49-bc6e-4459-b873-d9ecea0600cb,documentManagement,archived,2021-02-03 18:41:20.964
58fa108b-f2ca-47fa-a15c-8e5fcc85bd02,956c9a49-bc6e-4459-b873-d9ecea0600cb,insight,active,2021-03-08 21:38:37.421735
5d10da81-3e79-432b-923a-40ef15033b53,956c9a49-bc6e-4459-b873-d9ecea0600cb,insight,active,2021-08-06 14:51:38.861642
fd1eceab-63d1-47ae-bd72-b6d9569af17d,956c9a49-bc6e-4459-b873-d9ecea0600cb,insight,active,2021-08-12 14:38:59.204387
980cb6db-ba0a-4d02-9cea-955973df037b,956c9a49-bc6e-4459-b873-d9ecea0600cb,insight,active,2021-04-12 18:52:31.984368
4d911616-8373-4231-9d1f-77076a04bcce,956c9a49-bc6e-4459-b873-d9ecea0600cb,insight,active,2021-04-12 19:00:04.850403
ee52bc11-31fa-43b3-adaf-a28042ace97e,956c9a49-bc6e-4459-b873-d9ecea0600cb,insight,active,2021-09-28 17:39:57.872241
beabaafe-6f39-45fb-9849-a1c8152536bb,956c9a49-bc6e-4459-b873-d9ecea0600cb,documentManagement,archived,2021-11-16 15:42:10.877
09a32bfb-9c1d-47c8-8e9e-bb6a3e32002e,956c9a49-bc6e-4459-b873-d9ecea0600cb,insight,archived,2021-02-23 16:16:45.237564
09a32bfb-9c1d-47c8-8e9e-bb6a3e32002e,956c9a49-bc6e-4459-b873-d9ecea0600cb,documentManagement,archived,2021-02-23 16:17:02.697
1c80df94-2545-45c9-b349-2e9988e633c9,956c9a49-bc6e-4459-b873-d9ecea0600cb,insight,archived,2021-08-23 17:33:40.361455
6b4dd94a-c296-4236-a48a-28e98eaa3283,956c9a49-bc6e-4459-b873-d9ecea0600cb,documentManagement,archived,2021-06-23 20:28:25.628
daaa935a-b248-47c3-a9b0-af144adbe602,956c9a49-bc6e-4459-b873-d9ecea0600cb,designCollaboration,archived,2021-07-27 20:03:05.706
daaa935a-b248-47c3-a9b0-af144adbe602,956c9a49-bc6e-4459-b873-d9ecea0600cb,documentManagement,archived,2021-04-07 16:39:15.042
a2444e93-588f-4144-b4af-c59c3f8e0a36,956c9a49-bc6e-4459-b873-d9ecea0600cb,documentManagement,archived,2021-03-31 13:48:52.924
f0317cb0-bf7d-4f76-ab58-13d47a1e4921,956c9a49-bc6e-4459-b873-d9ecea0600cb,insight,archived,2021-04-02 18:53:15.562687
f0317cb0-bf7d-4f76-ab58-13d47a1e4921,956c9a49-bc6e-4459-b873-d9ecea0600cb,documentManagement,archived,2021-04-02 18:53:35.076
23bd00b4-69ed-48a8-860e-d9da70a6fc70,956c9a49-bc6e-4459-b873-d9ecea0600cb,insight,active,2021-02-09 01:47:09.783054
23bd00b4-69ed-48a8-860e-d9da70a6fc70,956c9a49-bc6e-4459-b873-d9ecea0600cb,glue,archived,2021-02-09 01:47:10.203027
a3c1c046-82ee-41b2-ad61-63ec88e827a7,956c9a49-bc6e-4459-b873-d9ecea0600cb,documentManagement,archived,2021-10-05 15:19:41.934
7d685723-7855-4770-b5e2-34883d529bd3,956c9a49-bc6e-4459-b873-d9ecea0600cb,insight,archived,2020-01-31 12:52:46.714353
7d685723-7855-4770-b5e2-34883d529bd3,956c9a49-bc6e-4459-b873-d9ecea0600cb,documentManagement,archived,2020-01-31 12:53:04.29654
d2ac702a-e935-4f8c-90ee-5bfb9d5b5839,956c9a49-bc6e-4459-b873-d9ecea0600cb,documentManagement,archived,2020-02-28 16:01:08.94961
17ada765-b6e7-43d0-9530-6918b4925919,956c9a49-bc6e-4459-b873-d9ecea0600cb,documentManagement,archived,2020-05-12 18:15:25.753533
17ada765-b6e7-43d0-9530-6918b4925919,956c9a49-bc6e-4459-b873-d9ecea0600cb,insight,archived,2020-05-12 18:14:59.899229
1cd57720-4869-4fc0-bd79-288ac0bc21a3,956c9a49-bc6e-4459-b873-d9ecea0600cb,insight,archived,2020-05-26 17:53:31.134121
1cd57720-4869-4fc0-bd79-288ac0bc21a3,956c9a49-bc6e-4459-b873-d9ecea0600cb,documentManagement,archived,2020-05-26 17:55:04.5
50584937-aa46-46b4-974f-ec6a7bbad379,956c9a49-bc6e-4459-b873-d9ecea0600cb,designCollaboration,archived,2020-04-08 12:53:54.218699
50584937-aa46-46b4-974f-ec6a7bbad379,956c9a49-bc6e-4459-b873-d9ecea0600cb,documentManagement,archived,2020-04-08 12:53:25.139222
50584937-aa46-46b4-974f-ec6a7bbad379,956c9a49-bc6e-4459-b873-d9ecea0600cb,insight,archived,2020-04-08 12:52:17.344121
dd0a68b6-bc1c-478d-83ac-2e702b7b8c8e,956c9a49-bc6e-4459-b873-d9ecea0600cb,designCollaboration,archived,2020-01-08 21:48:06.28545
dd0a68b6-bc1c-478d-83ac-2e702b7b8c8e,956c9a49-bc6e-4459-b873-d9ecea0600cb,insight,archived,2020-01-08 21:15:48.920053
bc5f471b-ca90-42fe-8a97-9d9062b54bd9,956c9a49-bc6e-4459-b873-d9ecea0600cb,insight,archived,2020-02-14 19:34:23.553181
e14cdd99-aa3f-4762-b7af-c1cbb1588c03,956c9a49-bc6e-4459-b873-d9ecea0600cb,documentManagement,archived,2020-11-17 16:20:54.041
83c41c3d-4832-4592-b268-e6daf9079166,956c9a49-bc6e-4459-b873-d9ecea0600cb,documentManagement,archived,2020-01-22 20:24:57.676097
83c41c3d-4832-4592-b268-e6daf9079166,956c9a49-bc6e-4459-b873-d9ecea0600cb,insight,archived,2020-01-22 20:23:48.455204
83c41c3d-4832-4592-b268-e6daf9079166,956c9a49-bc6e-4459-b873-d9ecea0600cb,designCollaboration,archived,2020-01-22 20:25:50.988439
79820ce8-1e3f-4c7f-b4c1-d1a85da943dc,956c9a49-bc6e-4459-b873-d9ecea0600cb,documentManagement,archived,2020-02-28 15:13:53.063989
79820ce8-1e3f-4c7f-b4c1-d1a85da943dc,956c9a49-bc6e-4459-b873-d9ecea0600cb,designCollaboration,archived,2020-02-28 15:14:26.480664
79820ce8-1e3f-4c7f-b4c1-d1a85da943dc,956c9a49-bc6e-4459-b873-d9ecea0600cb,insight,archived,2020-02-28 15:12:50.128107
1484f29b-9c76-41ff-91b7-a2302a50e26d,956c9a49-bc6e-4459-b873-d9ecea0600cb,designCollaboration,archived,2020-03-23 20:13:47.049978
1484f29b-9c76-41ff-91b7-a2302a50e26d,956c9a49-bc6e-4459-b873-d9ecea0600cb,documentManagement,archived,2020-03-23 20:12:12.389403
e8cd7af3-1b00-4bf3-ae5c-729a19eab48d,956c9a49-bc6e-4459-b873-d9ecea0600cb,designCollaboration,archived,2020-06-01 13:36:06.339
e8cd7af3-1b00-4bf3-ae5c-729a19eab48d,956c9a49-bc6e-4459-b873-d9ecea0600cb,documentManagement,archived,2020-05-19 15:51:09.321
